Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
ASUS,Notebook,8GB,AMD Ryzen 5 5600H,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 35399.00
DELL,Notebook,8GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows, 35999.00
Acer,Notebook,8GB,Intel Core i5 1245,NVIDIA  RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos, 36099.00
MSI,Notebook,8GB,Intel Core i7 1362,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Dos, 36299.00
Lenovo,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 36599.00
ASUS,Notebook,8GB,Intel Core i7 1355U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 36599.00
ASUS,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 36599.00
Lenovo,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 37199.00
MSI,Notebook,8GB,Intel Core i5 1245,NVIDIA  RTX2050,15.6 Inch,1920x1080,512GB SSD,Dos, 37799.00
HP,Notebook,8GB,Intel Core i5 1235U,NVIDIA  MX570,15.6 Inch,1920x1080,512GB SSD,Dos, 35999.00
HP,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 38999.00
DELL,Notebook,8GB,Intel Core i5 1135G,Intel Iris,14 Inch,1920x1080,256GB SSD,Dos, 38499.00
HP,Notebook,8GB,Intel Core i7 1355U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Dos, 40099.00
ASUS,Notebook,8GB,AMD Ryzen 5 7530U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 40299.00
DELL,Notebook,8GB,Intel Core i5 1135G,Intel Iris,15.6 Inch,1920x1080,256GB SSD,Dos, 39499.00
DELL,Notebook,8GB,Intel Core i7 1255U,NVIDIA  MX550,15.6 Inch,1920x1080,512GB SSD,Dos, 43799.00
Lenovo,Notebook,8GB,Intel Core i5 1135G,Intel Iris Xe,15.6 Inch,1920x1080,1TB SSD,Dos, 45999.00
Lenovo,Notebook,8GB,Intel Core i5 1245,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos, 46299.00
HP,Notebook,8GB,Intel Corei5 1235U,Intel Iris Xe,14 Inch,1920x1080,512GB SSD,Windows, 47299.00
HP,Notebook,8GB,Intel Core i5 1335U,Intel Iris Xe,14 Inch,1920x1080,512GB SSD,Windows, 47399.00
MSI,Notebook,16GB,Intel Core i7 1265,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos, 47399.00
Lenovo,Notebook,8GB,Intel Core i5 1235U,NVIDIA  MX550,15.6 Inch,1920x1080,256GB SSD,Dos, 45999.00
ASUS,Gaming,8GB,AMD Ryzen 7,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows, 47599.00
ASUS,Notebook,8GB,Intel Core i5 1240P,Intel UHD,14 Inch,1920x1080,512GB SSD,Windows, 48799.00
MSI,Notebook,16GB,Intel Core Ultra 5 125H,Intel Arc,14 Inch,1920x1080,512GB SSD,Windows, 49699.00
DELL,Notebook,8GB,AMD Ryzen 7,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows, 51199.00
Lenovo,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Dos, 49499.00
MSI,Notebook,8GB,Intel Core i5 1245,NVIDIA  RTX4050,15.6 Inch,1920x1080,512GB SSD,Dos, 53699.00
ASUS,Gaming,8GB,AMD Ryzen 5,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows, 53999.00
HP,Notebook,8 GB,Intel Core i5 1135U,Intel Iris Xe,14 Inch,1920x1080,256GB SSD,Windows,31299
ASUS,Notebook,8 GB,Intel Core i5 1335U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,24499
DELL,Notebook,4 GB,Intel Core i5 1135G7,NVIDIA  MX450,14 Inch,1920x1080,1TB HDD,Dos,30500
ASUS,Notebook,8 GB,Intel Core i5 1240P,Intel Iris Xe,14 Inch,1920x1080,512GB SSD,Windows,40135
Lenovo,Notebook,4 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows,17595
DELL,Notebook,8 GB,Intel Core i5 1335U,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Dos,40199
DELL,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,27690
DELL,Notebook,8 GB,Intel Core i7 1165G,NVIDIA  MX450,15.6 Inch,1920x1080,256GB SSD,Dos,57350
Lenovo,Notebook,4 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,128GB SSD,Dos,23599
ASUS,Notebook,8 GB,Intel Core i7 1355U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Dos,29999
ASUS,Notebook,16 GB,Intel Core i7 13620H,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows,57499
Lenovo,Notebook,8 GB,Intel Core i5 1240P,Intel Iris xe,14 Inch,1920x1080,512GB SSD,Windows,39020
MSI,Notebook,8 GB,Intel Core i5 12450H,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos,30056
ASUS,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,41799
Lenovo,Notebook,8 GB,Intel Core i5 12450H,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos,33679.97
DELL,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,32810
DELL,Notebook,8 GB,Intel Core i7 1355U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,59990
ASUS,Notebook,8 GB,AMD RYZEN 5 7535Hs,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Windows,31722.97
Fujitsu,Notebook,8 GB,Intel Core i5 1145G7,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,34999
Lenovo,Notebook,8 GB,Intel Core i5 13420H,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,27190.97
MSI,Notebook,16 GB,Intel Core i7 13620H,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows,48776
Lenovo,Notebook,8 GB,AMD RYZEN 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,22658.97
Lenovo,Notebook,16 GB,Intel Core i7 13620H,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos,58995
DELL,Notebook,4 GB,AMD RYZEN 3 3250U,AMD Radeon,15.6 Inch,1920x1080,128GB SSD,Dos,19660
Lenovo,Notebook,8 GB,Intel Core i5 1235U,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Windows,24615.97
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Windows,29353.97
DELL,Notebook,8 GB,Intel Core I5-1235U,Intel Iris XI,14 Inch,1920x1080,256GB SSD,Dos,43000
DELL,Notebook,4 GB,AMD RYZEN 3 3250U,Intel Iris xe,15.6 Inch,1920x1080,128GB SSD,Dos,17508.97
DELL,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,28632.97
ASUS,Notebook,8 GB,AMD RYZEN 7 7730U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,25770
Lenovo,Notebook,16 GB,AMD RYZEN 7 5800H,NVIDIA RTX 3070,15.6 Inch,1920x1080,512GB SSD,Windows,61995
Fujitsu,Notebook,8 GB,Intel Core i7 1135G,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,34999
ASUS,Notebook,8 GB,AMD RYZEN 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,22864.97
DELL,Notebook,8 GB,Intel Core i7 1370,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Dos,34699
Lenovo,Notebook,4 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,128GB SSD,Dos,23482.97
DELL,Notebook,8 GB,AMD RYZEN 5 3450,AMD Radeon,15.6 Inch,1920x1080,256GB SSD,Dos,23894.97
Lenovo,Gaming,8 GB,Intel Core i5 1250,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,36999
ASUS,Notebook,8 GB,AMD RYZEN R7 7730U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Dos,27999
Lenovo,Notebook,8 GB,Intel Core i7 1355U,NVIDIA  MX550,15.6 Inch,1920x1200,512GB SSD,Dos,42000
DELL,Notebook,32 GB,Intel Core i7 1365H,NVIDIA   RTX  3050,17 Inch,1920x1200,1TB SSD,Windows,100000
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1200,512GB SSD,Windows,29790
Lenovo,Gaming,8 GB,Intel Core i7 1365,NVIDIA  RTX 4060,15.6 Inch,1920x1200,512GB SSD,Dos,57499
Microsoft,UltraBook,8 GB,IntelCore i5 1265H,Intel UHD,12 Inch,2736x1824,128GB SSD,Windows,51000
DELL,Notebook,8 GB,Intel Core i7 11370H,NVIDIA  MX450,15.6 Inch,1920x1200,512GB SSD,Dos,37999
HP,Notebook,8 GB,Intel Core i5 1235U,NVIDIA  MX570,15.6 Inch,1920x1200,512GB SSD,Dos,32449
ASUS,Notebook,16 GB,Intel Core Ultra 9 185H,Intel Arc,15.6 Inch,1920x1200,1TB SSD,Windows,69899
HP,Notebook,4 GB,Intel Core i3 1011,Intel Iris Xe,15.6 Inch,1920x1200,1TB SSD,Dos,22599
ASUS,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Dos,41444
Lenovo,Notebook,8 GB,Intel Core i5 13420H,Intel Iris Xe,15.6 Inch,1920x1200,512GB SSD,Dos,27350
Lenovo,Gaming,16 GB,AMD RYZEN 5 5500H,NVIDIA   RTX  2050,15.6 Inch,1920x1200,512GB SSD,Windows,35299
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Dos,30999
HP,Gaming,16 GB,Intel Core i7 14700HX,NVIDIA  RTX 4060,15.6 Inch,1920x1200,512GB SSD,Windows,71150
DELL,Notebook,16 GB,Intel Core i7,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Windows,50400
ASUS,Notebook,8 GB,Intel Core i5 1135G,NVIDIA  MX330,15.6 Inch,1920x1200,512GB SSD,Dos,30799
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Dos,38499
Lenovo,Notebook,8 GB,Intel Core i7 1165G,NVIDIA  MX450,15.6 Inch,1920x1200,512GB SSD,Dos,65500
Lenovo,Notebook,16 GB,Intel Core Ultra 7 155U,Intel UHD,15.6 Inch,1920x1200,1TB SSD,Windows,73700
ASUS,Notebook,16 GB,AMD RYZEN 7 6800H,NVIDIA RTX 4050,15.6 Inch,1920x1200,1TB SSD,Windows,87899
Lenovo,Notebook,16 GB,AMD RYZEN 7 5800H,NVIDIA  MX450,15.6 Inch,1920x1200,1TB SSD,Windows,45190
DELL,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Dos,29999
ASUS,Notebook,8 GB,Intel Core i5 12500H,Intel UHD,14 Inch,1920x1200,512GB SSD,Windows,36199
ASUS,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Windows,23299
ASUS,Notebook,8 GB,Intel Core i7 1355U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Windows,28499
HP,Gaming,8 GB,Intel Core i7 14700HX,NVIDIA  RTX 4060,15.6 Inch,1920x1200,1TB SSD,Windows,72700
ASUS,Notebook,8 GB,Intel Core i7 1355U,Intel Iris Xe,15.6 Inch,1920x1200,512GB SSD,Windows,28666
ASUS,Notebook,32 GB,Snapdragon X Elite,Qualcomm Adreno,15.6 Inch,1920x1200,1TB SSD,Windows,70999
DELL,Gaming,16 GB,Intel Core i7 13650HX,NVIDIA  RTX 3050,15.6 Inch,1920x1200,512GB SSD,Dos,52939
ASUS,Notebook,8 GB,AMD RYZEN 5 7430U,AMD Radeon,15.6 Inch,1920x1200,512GB SSD,Windows,29360
Lenovo,Notebook,8 GB,Intel Core i5 1335U,Intel Iris Xe,16 Inch,1920x1200,512GB SSD,Windows,40100
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Dos,49499
Lenovo,Notebook,16 GB,intel  Core  i7 1180,NVIDIA GTX 1650,15.6 Inch,1920x1200,512GB SSD,Dos,73700
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1200,512GB SSD,Windows,30325
Lenovo,Notebook,16 GB,AMD RYZEN 7 5800H,NVIDIA  MX450,14 Inch,1920x1200,512GB SSD,Windows,45318.97
DELL,Notebook,8 GB,AMD RYZEN 7 3700U,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Dos,33150
Lenovo,Notebook,8 GB,Intel Core i7 1355U,NVIDIA  MX550,14 Inch,1920x1200,512GB SSD,Dos,56999
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel Iris xe,15.6 Inch,1920x1200,512GB SSD,Windows,30050
ASUS,Notebook,8 GB,Intel Core i5 13500H,Intel UHD,15.6 Inch,1920x1200,512GB SSD,Windows,28900
ASUS,Notebook,8 GB,AMD RYZEN 5 7535Hs,NVIDIA  RTX 3050,15.6 Inch,1920x1200,512GB SSD,Windows,36999
Lenovo,Gaming,16 GB,Intel Core i7 1265,NVIDIARTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,57440
Lenovo,Notebook,16 GB,Intel Core i7 11800H,NVIDIA RTX 3060,15.6 Inch,1920x1080,1TB SSD,Dos,62828.97
Fujitsu,Notebook,16 GB,Intel Core i7 1165G7,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Dos,39999
Lenovo,Notebook,16 GB,Intel Core i7 13620H,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos,54382.97
ASUS,Notebook,8 GB,Intel Core i5 13500H,Intel UHD,16 Inch,1920x1080,512GB SSD,Windows,29662.97
Lenovo,Notebook,8 GB,Intel Core i5 1240P,Intel Iris xe,14 Inch,1920x1080,512GB SSD,Windows,32958.97
ASUS,Notebook,8 GB,Intel Core i7 1355U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,29044.97
Lenovo,Notebook,4 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows,17508.97
Lenovo,Gaming,16 GB,Intel Core i7 12650H,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,45318.97
ASUS,Notebook,8 GB,AMD RYZEN 5,AMD Radeon,14 Inch,1920x1080,512GB SSD,Windows,31799
Fujitsu,Notebook,16 GB,Intel Core i7 1185G7,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Windows,59999
DELL,Notebook,4 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,16455
ASUS,Notebook,8 GB,Intel Core i5 1335U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,23894.97
Fujitsu,Notebook,8 GB,Intel Core i5 1135G,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,29999
ASUS,Notebook,8 GB,AMD RYZEN 5,AMD Radeon,14 Inch,1920x1080,512GB SSD,Windows,31928.97
Lenovo,Notebook,16 GB,AMD RYZEN 7 5800H,NVIDIA RTX 3070,15.6 Inch,1920x1080,512GB SSD,Windows,61695.97
DELL,Notebook,8 GB,AMD RYZEN 5 3450U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,26900
Fujitsu,Notebook,16 GB,Intel Core i5 1135G7,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Dos,54999
ASUS,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,25027.97
ASUS,Notebook,8 GB,AMD RYZEN 7,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,27293.97
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Windows,29868.97
DELL,Notebook,8 GB,AMD RYZEN 7 3700U,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Dos,32055.66
Fujitsu,Notebook,8 GB,Intel Core i5 1135G7,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Windows,49999
MSI,Notebook,8 GB,Intel Core i7 13620H,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Dos,30799
MSI,Notebook,8 GB,Intel Core i3 1215U,Intel UHD,14 Inch,1920x1080,256GB SSD,Dos,16559
MSI,Notebook,8 GB,Intel Core i7 1362,NVIDIA RTX 4070,15.6 Inch,2560x1440,512GB SSD,Windows,74450
ASUS,Notebook,8 GB,Intel Core i7 12700H,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,32599
MSI,Notebook,16 GB,Intel Core Ultra 7 155H,Intel Arc,13 Inch,1920x1080,512GB SSD,Windows,55899
MSI,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,14 Inch,1920x1080,512GB SSD,Dos,21499
ASUS,Notebook,8 GB,AMD RYZEN AI 9 HX,NVIDIA RTX 4070,16 Inch,2560x1600,1TB SSD,Windows,143599
MSI,Notebook,8 GB,Intel Core i5 12450,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos,41499
MSI,Notebook,16 GB,Intel Core i7 12450H,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,40299
MSI,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,14 Inch,1920x1080,512GB SSD,Dos,27199
MSI,Notebook,16 GB,Intel Core i7 13620H,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos,48499
DELL,Gaming,16 GB,Intel Core i7 9750H,NVIDIA GTX 1660TI,15.6 Inch,1920x1080,1TB HDD + 256GB SSD,Windows,19999
Lenovo,Notebook,4 GB,Intel Core i3 1115G,Intel UHD,15.6 Inch,1920x1080,1TB HDD,Dos,13816
DELL,Notebook,16 GB,Intel Core i7 9750H,NVIDIA RTX 2070,15.6 Inch,1920x1080,1TB HDD + 512GB SSD,Windows,28999
ASUS,Gaming,16 GB,AMD RYZEN 7 7435HS,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows,51999
ASUS,Notebook,8 GB,Intel Core i7 1270,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,31999
ASUS,Notebook,8 GB,AMD RYZEN 5 7430U,AMD Radeon,14 inch,1920x1200,512GB SSD,Windows,31999
ASUS,Notebook,8 GB,AMD RYZEN 7 7430U,AMD Radeon,14 inch,1920x1200,512GB SSD,Windows,36999
ASUS,Notebook,16 GB,AMD RYZEN 9 8945HS,AMD Radeon,14 inch,1920x1200,512GB SSD,Windows,55999
DELL,Notebook,16 GB,Intel Core i7 1355U,Intel Iris Xe,14 inch,1920x1200,1TB SSD,Windows,55999
DELL,Gaming,16 GB,Intel i7 13650HX,NVIDIA RTX 4050,15.6 Inch,1920x1080,1TB SSD,Windows,59999
HP,Notebook,16 GB,Intel Core i9 1390,NVIDIA RTX 4060,16 inch,2560x1600,1TB SSD,Windows,90999
HP,Gaming,8 GB,Intel i5 12450H,NVIDIA GTX 1650,15.6 Inch,1920x1080,512GB SSD,Windows,30999
DELL,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,27999
DELL,Notebook,8 GB,Intel Core i5 1135G,Intel Iris Xe,14 inch,1920x1080,256GB SSD,Windows,24999
ASUS,Notebook,8 GB,Intel Core i5 1335U,Intel UHD,14 inch,1920x1080,512GB SSD,Windows,24999
ASUS,Notebook,32 GB,Snapdragon X Elite,Qualcomm Adreno,15.6 Inch,2880x1620,1TB SSD,Windows,69999
Lenovo,Notebook,16 GB,Intel Core i7 1362,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows,34999
Lenovo,Notebook,8 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows,16999
ASUS,Gaming,8 GB,AMD RYZEN 5 7535HS,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,31999
ASUS,Notebook,8 GB,AMD RYZEN 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,21999
ASUS,Notebook,8 GB,Intel i5 1335U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,22999
ASUS,Notebook,8 GB,AMD RYZEN 7 7730U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,26999
ASUS,Notebook,8 GB,Intel Core i7 1355U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,28999
ASUS,Notebook,16 GB,Intel Core Ultra 9,Intel Arc,15.6 Inch,2880x1800,1TB SSD,Windows,69999
ASUS,Notebook,8 GB,Intel Core i5 1250,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,23499
Lenovo,Notebook,32 GB,Intel Core i9 1390,NVIDIA RTX 4090,15.6 Inch,1920x1080,1TB SSD,Windows,163999
Lenovo,Gaming,16 GB,Intel  i7 13620H,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos,55999
Lenovo,Notebook,16 GB,AMD RYZEN 7 7840HS,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,46999
Lenovo,Gaming,8 GB,AMD RYZEN 5 5500H6,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos,33999
Lenovo,Gaming,8 GB,Intel i5 12450H,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,38765
Lenovo,Notebook,4 GB,Intel i5 12450H,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos,33999
Lenovo,Notebook,8 GB,Intel i5 13420H,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,26000
ASUS,Gaming,32 GB,Intel Core Ultra 9,NVIDIA RTX 4090,16 inch,2560x1600,2TB SSD,Windows,173799
ASUS,Notebook,8 GB,AMD RYZEN 5 7530U,AMD Radeon,15.6 Inch,1920x1200,512GB SSD,Windows,28999
Apple,Ultrabook,36 GB,M3 MAX,30 core,16 Inch,2880x1620,1TB SSD,Mac,209999
Apple,Ultrabook,18 GB,M3 Pro,18 core,16 Inch,2881x1620,512GB SSD,Mac,147999
Apple,Ultrabook,8 GB,M3,10 core,15.6 Inch,2882x1620,512GB SSD,Mac,94999
Apple,Ultrabook,8 GB,M2,8 core,13 Inch,2883x1620,265GB SSD,Mac,56499
HP,Gaming,8 GB,Intel i5 12450H,NVIDIA  GTX 1650,15.6 Inch,1920x1080,512GB SSD,Windows,39399
Apple,Notebook,8 GB,M2,10 core,15.6 Inch,2880x1620,265GB SSD,Mac,66499
Apple,Notebook,8 GB,M2,10 core,15.6 Inch,2881x1620,265GB SSD,Mac,65499
Apple,Ultrabook,8 GB,M2,10 core,13 Inch,2882x1620,265GB SSD,Mac,66999
Apple,Notebook,8 GB,M2,8 core,13 Inch,2883x1620,265GB SSD,Mac,58499
Lenovo,Notebook,8 GB,Intel Core i5 1135G,Intel Iris Xe,14 Inch,1920x1080,256GB SSD,Windows,30999
Lenovo,Notebook,8 GB,Intel i7 13700HX,NVIDIA  RTX 4060,15.6 Inch,2560x1600,1TB SSD,Dos,94555
HP,Gaming,16 GB,Intel i7 13700HX,NVIDIA  RTX 4050,16 Inch,1920X1080,1TB SSD,Dos,69599
HP,Gaming,16 GB,Intel i7 13700HX,NVIDIA  RTX 4050,15.6 Inch,1920X1080,512GB SSD,Dos,67999
HP,Notebook,16 GB,Intel core i7 1355U,Intel Iris Xe,14 inch,1920X1080,1TB SSD,Windows,56999
HP,Gaming,16 GB,AMD RYZEN 7 5800H,NVIDIA RTX3050Ti,15.6 Inch,1920x1080,512GB SSD,Windows,48999
Lenovo,Gaming,8 GB,AMD RYZEN 5 5800H,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,48999
DELL,Gaming,8 GB,Intel Core i5 1126,NVIDIA  RTX3050,14 inch,1920x1080,512GB SSD,Dos,43399
HP,Notebook,8 GB,Intel core i5 1335U,Intel Iris Xe,15.6 Inch,1920X1080,512GB SSD,Windows,38999
Lenovo,Notebook,8 GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows,32999
Lenovo,Notebook,4 GB,Intel Core i3 1011,Intel UHD,15.6 Inch,1366x768,1TB HDD,Dos,16999
Lenovo,Notebook,8 GB,Intel Core i7 1165G,NVIDIA  MX450,15.6 Inch,1920x1080,512GB SSD,Dos,38999
Apple,Notebook,8 GB,M2,8 core,13 Inch,1920x1080,235GB SSD,Dos,56499
Lenovo,Notebook,8 GB,AMD RYZEN 5 5500U,AMD Radeon,15.6 Inch,1920x1080,1TB HDD,Dos,20999
Lenovo,Gaming,16 GB,Intel Core i7 1137,NVIDIA  RTX2050,15.6 Inch,1920x1080,1TB HDD,Dos,38999
Lenovo,Notebook,8 GB,AMD RYZEN 7 5500U,AMD Radeon,15.6 Inch,1920x1080,1TB HDD,Dos,25999
HP,Notebook,8 GB,AMD RYZEN 3 5500U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Dos,18999
HP,Notebook,4 GB,AMD RYZEN 3 5500U,AMD Radeon,15.6 Inch,1920x1080,1TB HDD,Dos,13999
